asset_price,exercise_time,delta
82.0000,0.3360,0.1032
82.0000,0.3440,0.1066
82.0000,0.3520,0.1101
82.0000,0.3600,0.1135
82.0000,0.3680,0.1169
82.0000,0.3760,0.1202
82.0000,0.3840,0.1235
82.0000,0.3920,0.1268
82.0000,0.4000,0.1301
82.0000,0.4080,0.1333
82.0000,0.4160,0.1365
82.0000,0.4240,0.1396
82.0000,0.4320,0.1427
82.0000,0.4400,0.1458
82.0000,0.4480,0.1489
82.0000,0.4560,0.1519
82.0000,0.4640,0.1549
82.0000,0.4720,0.1579
82.0000,0.4800,0.1608
82.0000,0.4880,0.1637
82.0000,0.4960,0.1665
82.0000,0.5040,0.1694
82.0000,0.5120,0.1722
82.0000,0.5200,0.1750
82.0000,0.5280,0.1777
82.0000,0.5360,0.1804
82.0000,0.5440,0.1831
82.0000,0.5520,0.1858
82.0000,0.5600,0.1884
82.0000,0.5680,0.1910
82.0000,0.5760,0.1936
82.0000,0.5840,0.1962
82.0000,0.6000,0.2012
84.0000,0.2000,0.0570
84.0000,0.2080,0.0612
84.0000,0.2160,0.0655
84.0000,0.2240,0.0698
84.0000,0.2320,0.0740
84.0000,0.2400,0.0782
84.0000,0.2480,0.0824
84.0000,0.2560,0.0866
84.0000,0.2640,0.0907
84.0000,0.2720,0.0948
84.0000,0.2800,0.0989
84.0000,0.2880,0.1029
84.0000,0.2960,0.1069
84.0000,0.3040,0.1108
84.0000,0.3120,0.1147
84.0000,0.3200,0.1186
84.0000,0.3280,0.1224
84.0000,0.3360,0.1261
84.0000,0.3440,0.1298
84.0000,0.3520,0.1335
84.0000,0.3600,0.1371
84.0000,0.3680,0.1407
84.0000,0.3760,0.1442
84.0000,0.3840,0.1477
84.0000,0.3920,0.1511
84.0000,0.4000,0.1545
84.0000,0.4080,0.1579
84.0000,0.4160,0.1612
84.0000,0.4240,0.1645
84.0000,0.4320,0.1677
84.0000,0.4400,0.1709
84.0000,0.4480,0.1740
84.0000,0.4560,0.1771
84.0000,0.4640,0.1802
84.0000,0.4720,0.1832
84.0000,0.4800,0.1862
84.0000,0.4880,0.1892
84.0000,0.4960,0.1921
84.0000,0.5040,0.1950
84.0000,0.5120,0.1979
84.0000,0.5200,0.2007
84.0000,0.5280,0.2035
84.0000,0.5360,0.2062
84.0000,0.5440,0.2089
84.0000,0.5520,0.2116
84.0000,0.5600,0.2143
84.0000,0.5680,0.2169
84.0000,0.5760,0.2195
84.0000,0.5840,0.2220
84.0000,0.6000,0.2271
86.0000,0.2000,0.0763
86.0000,0.2080,0.0812
86.0000,0.2160,0.0861
86.0000,0.2240,0.0909
86.0000,0.2320,0.0956
86.0000,0.2400,0.1003
86.0000,0.2480,0.1049
